VISITED: 0
ROOMTYPE: MID
ROOMNAME: Animal Room
LONGDESCRIPTION: Change
SHORTDESCRIPTION: Change
FEATURE1: Change
LOOK1: Change
HIT1: Change
OPEN1: Change 
MOVE1: Change
FEATURE2: Change
LOOK2: Change
HIT2: Change
OPEN2: Change
MOVE2: Change
LOOKAT2: Change
HITD2: Change
OPEND2: Change
MOVED2: Change
OBJECT: Change
NUMEXITS: 3
EXIT1DIRECTION: north
EXIT2DIRECTION: east
EXIT3DIRECTION: west
EXIT4DIRECTION: NA
EXIT1NAME: Bar
EXIT2NAME: Cafe
EXIT3NAME: Ghost Room
EXIT4NAME: NA
